province,health_region,date_report,cases,cumulative_cases,deaths,cumulative_deaths,numtotal_last14,numdeaths_last14,numtotal_last7,numdeaths_last7,avgtotal_last7,avgdeaths_last7
NL,Western,2022-03-09,115.0,3175.0,1.0,10.0,668.0,1.0,396.0,1.0,56.57142857142857,0.14285714285714285
NL,Western,2022-03-10,0.0,3175.0,0.0,10.0,668.0,1.0,396.0,1.0,56.57142857142857,0.14285714285714285
NL,Western,2022-03-11,96.0,3271.0,1.0,11.0,660.0,2.0,338.0,2.0,48.285714285714285,0.2857142857142857
NL,Western,2022-03-12,0.0,3271.0,0.0,11.0,660.0,2.0,338.0,2.0,48.285714285714285,0.2857142857142857
NL,Western,2022-03-13,0.0,3271.0,0.0,11.0,660.0,2.0,338.0,2.0,48.285714285714285,0.2857142857142857
NWT,NWT,2022-03-07,109.0,9231.0,0.0,19.0,929.0,1.0,434.0,0.0,62.0,0.0
NWT,NWT,2022-03-08,94.0,9325.0,0.0,19.0,901.0,0.0,401.0,0.0,57.285714285714285,0.0
NWT,NWT,2022-03-09,75.0,9400.0,1.0,20.0,905.0,1.0,393.0,1.0,56.142857142857146,0.14285714285714285
NWT,NWT,2022-03-10,66.0,9466.0,0.0,20.0,872.0,1.0,386.0,1.0,55.142857142857146,0.14285714285714285
NWT,NWT,2022-03-11,48.0,9514.0,0.0,20.0,832.0,1.0,392.0,1.0,56.0,0.14285714285714285
NWT,NWT,2022-03-12,0.0,9514.0,0.0,20.0,832.0,1.0,392.0,1.0,56.0,0.14285714285714285
NWT,NWT,2022-03-13,0.0,9514.0,0.0,20.0,832.0,1.0,392.0,1.0,56.0,0.14285714285714285
New Brunswick,Not Reported,2022-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Not Reported,2022-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Not Reported,2022-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Not Reported,2022-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
